client_collected,contact_method,pickup_date,age,dependents_qty,household,preferred_languages,sex_new,status,Season,Month,distance_km,num_of_contact_methods,latest_language_is_english
yes,In-Person,2024-03-01 04:00:00,35.0,1.0,yes,English,Male,Active,Spring,March,0.55,2,No
no,In-Person,2024-04-01 03:00:00,35.0,1.0,yes,English,Male,Active,Spring,April,0.55,2,No
yes,In-Person,2024-05-01 03:00:00,35.0,1.0,yes,English,Male,Active,Spring,May,0.55,2,No
no,In-Person,2024-06-01 03:00:00,35.0,1.0,yes,English,Male,Active,Summer,June,0.55,2,No
yes,In-Person,2024-07-01 03:00:00,35.0,1.0,yes,English,Male,Active,Summer,July,0.55,2,No
yes,In-Person,2024-08-01 03:00:00,35.0,1.0,yes,English,Male,Active,Summer,August,0.55,2,No
yes,In-Person,2024-09-01 03:00:00,35.0,1.0,yes,English,Male,Active,Fall,September,0.55,2,No
yes,In-Person,2024-10-01 03:00:00,35.0,1.0,yes,English,Male,Active,Fall,October,0.55,2,No
yes,In-Person,2024-11-01 03:00:00,35.0,1.0,yes,English,Male,Active,Fall,November,0.55,2,No
yes,In-Person,2023-11-01 14:32:00,51.0,8.0,yes,"Arabic , English",Male,Active,Fall,November,7.88,1,No
yes,In-Person,2023-12-01 04:00:00,51.0,8.0,yes,"Arabic , English",Male,Active,Winter,December,7.88,1,No
yes,In-Person,2024-02-01 04:00:00,51.0,8.0,yes,"Arabic , English",Male,Active,Winter,Febuary,7.88,1,No
yes,In-Person,2024-04-01 16:35:00,51.0,8.0,yes,"Arabic , English",Male,Active,Spring,April,7.88,1,No
yes,In-Person,2024-05-02 15:56:00,51.0,8.0,yes,"Arabic , English",Male,Active,Spring,May,7.88,1,No
yes,In-Person,2024-06-03 03:00:00,51.0,8.0,yes,"Arabic , English",Male,Active,Summer,June,7.88,1,No
yes,In-Person,2024-07-02 17:22:00,51.0,8.0,yes,"Arabic , English",Male,Active,Summer,July,7.88,1,No
yes,In-Person,2024-08-12 15:29:00,51.0,8.0,yes,"Arabic , English",Male,Active,Summer,August,7.88,1,No
yes,In-Person,2024-09-03 03:00:00,51.0,8.0,yes,"Arabic , English",Male,Active,Fall,September,7.88,1,No
no,In-Person,2024-10-03 03:00:00,51.0,8.0,yes,"Arabic , English",Male,Active,Fall,October,7.88,1,No
yes,In-Person,2024-11-03 03:00:00,51.0,8.0,yes,"Arabic , English",Male,Active,Fall,November,7.88,1,No
yes,In-Person,2023-11-01 14:39:00,50.0,3.0,yes,Somali,Female,Active,Fall,November,10.0,1,No
yes,In-Person,2023-12-27 18:07:00,50.0,3.0,yes,Somali,Female,Active,Winter,December,10.0,1,No
yes,In-Person,2024-01-31 19:26:00,50.0,3.0,yes,Somali,Female,Active,Winter,January,10.0,1,No
yes,In-Person,2024-03-14 15:19:00,50.0,3.0,yes,Somali,Female,Active,Spring,March,10.0,1,No
yes,In-Person,2024-04-23 15:37:00,50.0,3.0,yes,Somali,Female,Active,Spring,April,10.0,1,No
yes,In-Person,2024-05-29 15:08:00,50.0,3.0,yes,Somali,Female,Active,Spring,May,10.0,1,No
yes,In-Person,2024-06-29 03:00:00,50.0,3.0,yes,Somali,Female,Active,Summer,June,10.0,1,No
yes,In-Person,2024-07-30 15:10:00,50.0,3.0,yes,Somali,Female,Active,Summer,July,10.0,1,No
yes,In-Person,2024-08-12 14:23:00,50.0,3.0,yes,Somali,Female,Active,Summer,August,10.0,1,No
yes,In-Person,2024-09-29 03:00:00,50.0,3.0,yes,Somali,Female,Active,Fall,September,10.0,1,No
yes,In-Person,2024-10-30 03:00:00,50.0,3.0,yes,Somali,Female,Active,Fall,October,10.0,1,No
yes,In-Person,2024-11-29 04:00:00,50.0,3.0,yes,Somali,Female,Active,Fall,November,10.0,1,No
no,In-Person,2024-12-30 04:00:00,50.0,3.0,yes,Somali,Female,Active,Winter,December,10.0,1,No
yes,In-Person,2023-11-01 15:13:00,40.0,2.0,yes,"Somali , English",Female,Active,Fall,November,6.37,1,No
yes,In-Person,2023-12-27 18:09:00,40.0,2.0,yes,"Somali , English",Female,Active,Winter,December,6.37,1,No
yes,In-Person,2024-01-28 04:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Winter,January,6.37,1,No
yes,In-Person,2024-03-14 16:18:00,40.0,2.0,yes,"Somali , English",Female,Active,Spring,March,6.37,1,No
yes,In-Person,2024-03-28 03:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Spring,March,6.37,1,No
yes,In-Person,2024-05-28 15:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Spring,May,6.37,1,No
yes,In-Person,2024-06-28 03:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Summer,June,6.37,1,No
yes,In-Person,2024-07-28 03:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Summer,July,6.37,1,No
yes,In-Person,2024-08-12 14:26:00,40.0,2.0,yes,"Somali , English",Female,Active,Summer,August,6.37,1,No
no,In-Person,2024-09-28 03:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Fall,September,6.37,1,No
no,In-Person,2024-10-28 03:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Fall,October,6.37,1,No
yes,In-Person,2024-11-28 04:00:00,40.0,2.0,yes,"Somali , English",Female,Active,Fall,November,6.37,1,No
yes,In-Person,2023-11-01 15:37:00,43.0,2.0,yes,Turkish,Female,Active,Fall,November,9.26,1,No
yes,In-Person,2023-11-01 15:44:00,46.0,6.0,yes,"Somali , English",Female,Active,Fall,November,6.2,1,No
yes,In-Person,2023-12-01 04:00:00,46.0,6.0,yes,"Somali , English",Female,Active,Winter,December,6.2,1,No
yes,In-Person,2023-11-01 15:47:00,30.0,3.0,yes,"Somali , English",Male,Active,Fall,November,5.89,1,No
yes,In-Person,2024-02-01 17:23:00,30.0,3.0,yes,"Somali , English",Male,Active,Winter,Febuary,5.89,1,No
yes,In-Person,2024-01-02 18:43:00,30.0,3.0,yes,"Somali , English",Male,Active,Winter,January,5.89,1,No
yes,In-Person,2024-02-01 04:00:00,30.0,3.0,yes,"Somali , English",Male,Active,Winter,Febuary,5.89,1,No
yes,In-Person,2024-04-02 15:21:00,30.0,3.0,yes,"Somali , English",Male,Active,Spring,April,5.89,1,No
yes,In-Person,2024-05-02 13:57:00,30.0,3.0,yes,"Somali , English",Male,Active,Spring,May,5.89,1,No
yes,In-Person,2024-06-03 15:20:00,30.0,3.0,yes,"Somali , English",Male,Active,Summer,June,5.89,1,No
yes,In-Person,2024-07-03 13:39:00,30.0,3.0,yes,"Somali , English",Male,Active,Summer,July,5.89,1,No
yes,In-Person,2024-08-06 16:04:00,30.0,3.0,yes,"Somali , English",Male,Active,Summer,August,5.89,1,No
yes,In-Person,2024-09-03 03:00:00,30.0,3.0,yes,"Somali , English",Male,Active,Fall,September,5.89,1,No
yes,In-Person,2024-10-03 03:00:00,30.0,3.0,yes,"Somali , English",Male,Active,Fall,October,5.89,1,No
no,In-Person,2024-11-03 03:00:00,30.0,3.0,yes,"Somali , English",Male,Active,Fall,November,5.89,1,No
yes,In-Person,2023-11-01 15:50:00,42.0,7.0,yes,"Kurdish , English",Female,Active,Fall,November,9.07,1,No
yes,In-Person,2023-11-01 16:27:00,41.0,7.0,yes,"Arabic , English",Male,Closed,Fall,November,7.61,1,No
yes,In-Person,2023-12-01 04:00:00,41.0,7.0,yes,"Arabic , English",Male,Closed,Winter,December,7.61,1,No
yes,In-Person,2023-11-01 16:35:00,38.0,2.0,yes,Somali,Female,Active,Fall,November,9.01,1,No
yes,In-Person,2023-11-01 16:39:00,37.0,8.0,yes,Arabic,Female,Active,Fall,November,8.2,1,No
yes,In-Person,2023-12-01 04:00:00,37.0,8.0,yes,Arabic,Female,Active,Winter,December,8.2,1,No
yes,In-Person,2023-11-01 16:40:00,63.0,1.0,yes,Arabic,Female,Active,Fall,November,6.6,1,Yes
yes,In-Person,2023-11-01 18:30:00,33.0,2.0,yes,Persian,Male,Active,Fall,November,10.27,1,Yes
no,In-Person,2023-12-01 04:00:00,33.0,2.0,yes,Persian,Male,Active,Winter,December,10.27,1,Yes
yes,In-Person,2024-01-01 04:00:00,33.0,2.0,yes,Persian,Male,Active,Winter,January,10.27,1,Yes
yes,In-Person,2024-02-01 04:00:00,33.0,2.0,yes,Persian,Male,Active,Winter,Febuary,10.27,1,Yes
yes,In-Person,2024-03-01 04:00:00,33.0,2.0,yes,Persian,Male,Active,Spring,March,10.27,1,Yes
yes,In-Person,2024-04-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Spring,April,10.27,1,Yes
yes,In-Person,2024-05-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Spring,May,10.27,1,Yes
yes,In-Person,2024-06-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Summer,June,10.27,1,Yes
yes,In-Person,2024-07-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Summer,July,10.27,1,Yes
yes,In-Person,2024-08-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Summer,August,10.27,1,Yes
yes,In-Person,2024-09-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Fall,September,10.27,1,Yes
no,In-Person,2024-10-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Fall,October,10.27,1,Yes
yes,In-Person,2024-11-01 03:00:00,33.0,2.0,yes,Persian,Male,Active,Fall,November,10.27,1,Yes
no,In-Person,2023-11-02 03:00:00,49.0,3.0,yes,Tigrinya,Male,Closed,Fall,November,2.77,1,Yes
no,In-Person,2023-12-02 04:00:00,49.0,3.0,yes,Tigrinya,Male,Closed,Winter,December,2.77,1,Yes
